==367439== NVPROF is profiling process 367439, command: ./gd_multi
==367439== Profiling application: ./gd_multi
==367439== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
27.6836s  6.9431ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1268]
27.6906s  2.1760us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1273]
27.6906s  6.8673ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1275]
27.6974s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.6975s  3.6800us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1281]
27.6975s  2.8480us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1284]
27.6975s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.6975s  1.3760us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1291]
27.6975s  2.0480us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1295]
27.6975s  6.8688ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1297]
27.7044s  6.9359ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1299]
27.7113s  2.1120us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1304]
27.7113s  6.8656ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1306]
27.7182s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.7182s  3.4880us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1312]
27.7182s  2.7840us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1315]
27.7182s     960ns                    -               -         -         -         -        4B  3.9736MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.7182s  1.3120us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1322]
27.7182s  1.9520us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1326]
27.7182s  6.8688ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1328]
27.7251s  6.9233ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1330]
27.7321s  2.1760us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1335]
27.7321s  6.8680ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1337]
27.7389s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.7389s  3.5520us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1343]
27.7389s  2.7840us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1346]
27.7389s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.7390s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1353]
27.7390s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1357]
27.7390s  6.8680ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1359]
27.7459s  6.9154ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1361]
27.7528s  2.1120us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1366]
27.7528s  6.8759ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1368]
27.7597s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.7597s  3.4880us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1374]
27.7597s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1377]
27.7597s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.7597s  1.3120us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1384]
27.7597s  2.0480us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1388]
27.7597s  6.8709ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1390]
27.7666s  6.9059ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1392]
27.7735s  2.0800us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1397]
27.7735s  6.8674ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1399]
27.7804s     832ns                    -               -         -         -         -  2.1289KB  2.4402GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.7804s  3.5200us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1405]
27.7804s  2.7210us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1408]
27.7804s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.7804s  1.3760us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1415]
27.7804s  1.8240us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1419]
27.7804s  6.8675ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1421]
27.7873s  6.9244ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1423]
27.7943s  2.1440us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1428]
27.7943s  6.8687ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1430]
27.8011s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.8011s  3.4560us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1436]
27.8011s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1439]
27.8011s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.8012s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1446]
27.8012s     896ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1449]
27.8012s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1453]
27.8012s  6.8661ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1455]
27.8081s  6.9193ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1457]
27.8150s  2.1440us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1462]
27.8150s  6.8724ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1464]
27.8219s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.8219s  3.5530us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1470]
27.8219s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1473]
27.8219s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.8220s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1480]
27.8220s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1484]
27.8220s  6.8696ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1486]
27.8288s  6.9267ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1488]
27.8359s  2.1120us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1493]
27.8359s  6.8728ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1495]
27.8427s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.8427s  3.7440us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1501]
27.8427s  2.7520us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1504]
27.8428s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.8428s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1511]
27.8428s     896ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1514]
27.8428s  1.8560us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1518]
27.8428s  6.8644ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1520]
27.8497s  6.9115ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1522]
27.8566s  2.1440us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1527]
27.8566s  6.8649ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1529]
27.8635s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.8635s  3.5520us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1535]
27.8635s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1538]
27.8635s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.8635s  1.3120us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1545]
27.8636s     896ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1548]
27.8636s  1.8240us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1552]
27.8636s  6.8626ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1554]
27.8704s  6.9239ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1556]
27.8774s  2.1440us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1561]
27.8774s  6.8620ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1563]
27.8842s     768ns                    -               -         -         -         -  2.1289KB  2.6436GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.8842s  3.4560us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1569]
27.8843s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1572]
27.8843s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.8843s  1.3120us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1579]
27.8843s  2.0480us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1583]
27.8843s  6.8623ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1585]
27.8912s  6.9207ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1587]
27.8981s  2.0800us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1592]
27.8981s  6.8715ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1594]
27.9050s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.9050s  3.4890us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1600]
27.9050s  2.7520us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1603]
27.9050s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.9050s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1610]
27.9050s     928ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1613]
27.9050s  1.8880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1617]
27.9050s  6.8747ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1619]
27.9119s  6.9048ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1621]
27.9188s  2.1120us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1626]
27.9188s  6.8623ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1628]
27.9257s     800ns                    -               -         -         -         -  2.1289KB  2.5379GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.9257s  3.4560us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1634]
27.9257s  2.7200us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1637]
27.9257s     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.9257s  1.3440us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1644]
27.9257s     928ns             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1647]
27.9258s  1.8240us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1651]
27.9258s  6.8742ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1653]
