==367439== NVPROF is profiling process 367439, command: ./gd_multi
==367439== Profiling application: ./gd_multi
==367439== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
27.5101s  4.5440us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1002]
27.5101s  3.8080us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1005]
27.5101s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.5102s  1.7600us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1012]
27.5102s  2.4320us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1016]
27.5102s  6.8807ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1018]
27.5171s  6.9690ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1020]
27.5240s  2.6880us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1025]
27.5241s  6.8838ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1027]
27.5309s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.5309s  4.6400us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1033]
27.5309s  3.8080us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1036]
27.5310s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.5310s  1.7920us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1043]
27.5310s  2.4960us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1047]
27.5310s  6.8839ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1049]
27.5379s  6.9637ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1051]
27.5449s  2.6890us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1056]
27.5449s  6.8838ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1058]
27.5518s     960ns                    -               -         -         -         -  2.1289KB  2.1149GB/s    Pageable      Device  GeForce RTX 208         1         7  [CUDA memcpy HtoD]
27.5518s  4.6080us            (544 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1064]
27.5518s  3.8080us              (1 1 1)       (128 1 1)        23      512B        0B         -           -           -           -  GeForce RTX 208         1         7  void nrm2_kernel<float, float, float, int=1, int=0, int=128, int=0>(cublasNrm2Params<float, float>) [1067]
27.5518s  1.1520us                    -               -         -         -         -        4B  3.3114MB/s      Device    Pageable  GeForce RTX 208         1         7  [CUDA memcpy DtoH]
27.5518s  1.7600us             (40 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1074]
27.5518s  2.4000us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1078]
27.5518s  6.8860ms            (782 1 1)       (128 1 1)        64  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2N_kernel_val<int, int, float, float, float, int=128, int=1, int=2, int=2, int=1, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1080]
27.5587s  6.9615ms           (1250 1 1)       (128 1 1)        46  1.5000KB        0B         -           -           -           -  GeForce RTX 208         1         7  void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const ) [1082]
27.5657s  2.7200us            (391 1 1)       (256 1 1)        16        0B        0B         -           -           -           -  GeForce RTX 208         1         7  void copy_kernel<float, int=0>(cublasCopyParams<float>) [1087]
